Date,Closing Price,MonthlyGainOrLoss
1-Nov-97,938.92,-0.012868497
1-Oct-97,951.16,0.015090393
1-Sep-97,937.02,0.010547431
1-Aug-97,927.24,0.002107447
1-Jul-97,925.29,0.055917562
1-Jun-97,876.29,0.051855142
1-May-97,833.09,0.090531855
1-Apr-97,763.93,-0.03563674
1-Mar-97,792.16,-0.007803204
1-Feb-97,798.39,0.041985331
1-Jan-97,766.22,0.03090481
1-Dec-96,743.25,0.010303533
1-Nov-96,735.67,0.048769709
1-Oct-96,701.46,0.03938478
1-Sep-96,674.88,0.018410092
1-Aug-96,662.68,0.028894375
1-Jul-96,644.07,-0.036544503
1-Jun-96,668.5,0.010994661
1-May-96,661.23,0.021725358
1-Apr-96,647.17,0.000154543
1-Mar-96,647.07,-0.003802691
1-Feb-96,649.54,0.057159598
1-Jan-96,614.42,-0.000244073
1-Dec-95,614.57,0.031971521
1-Nov-95,595.53,0.021632471
1-Oct-95,582.92,0.007170379
1-Sep-95,578.77,0.035163027
1-Aug-95,559.11,0.003121804
1-Jul-95,557.37,0.033410587
1-Jun-95,539.35,0.029667246
1-May-95,523.81,0.031304759
1-Apr-95,507.91,0.029930042
1-Mar-95,493.15,0.023302623
1-Feb-95,481.92,0.035830199
1-Jan-95,465.25,0.022100661
1-Dec-94,455.19,-0.012624455
1-Nov-94,461.01,-0.006036955
1-Oct-94,463.81,-0.00674576
1-Sep-94,466.96,0.005859038
1-Aug-94,464.24,0.028444838
1-Jul-94,451.4,-0.007541279
1-Jun-94,454.83,0.008715902
1-May-94,450.9,0.008206068
1-Apr-94,447.23,-0.035747397
1-Mar-94,463.81,-0.016476526
1-Feb-94,471.58,-0.002981036
1-Jan-94,472.99,0.015108917
1-Dec-93,465.95,0.006610642
1-Nov-93,462.89,-0.002177193
1-Oct-93,463.9,0.0101472
1-Sep-93,459.24,0.011252285
1-Aug-93,454.13,0.015292092
1-Jul-93,447.29,-0.00171852
1-Jun-93,448.06,0.006311061
1-May-93,445.25,0.004897535
